@relation features_processed

@attribute OutterAccess1 numeric
@attribute OutterAccess2 numeric
@attribute OutterAccess3 numeric
@attribute InnerAccess1 numeric
@attribute InnerAccess2 numeric
@attribute InnerAccess3 numeric
@attribute ConstantAccess1 numeric
@attribute ConstantAccess2 numeric
@attribute ConstantAccess3 numeric
@attribute OutterWrite1 numeric
@attribute OutterWrite2 numeric
@attribute OutterWrite3 numeric
@attribute InnerWrite1 numeric
@attribute InnerWrite2 numeric
@attribute InnerWrite3 numeric
@attribute BasicOp1 numeric
@attribute BasicOp2 numeric
@attribute BasicOp3 numeric
@attribute SinOp1 numeric
@attribute SinOp2 numeric
@attribute SinOp3 numeric
@attribute PowOp1 numeric
@attribute PowOp2 numeric
@attribute PowOp3 numeric
@attribute MinOp1 numeric
@attribute MinOp2 numeric
@attribute MinOp3 numeric
@attribute DataTo numeric
@attribute DataFrom numeric
@attribute Op numeric
@attribute CPUTime numeric
@attribute GPUTime numeric
@attribute GPUFaster {0,1}

@data
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,2400,8,3,594915,18154203,0
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,2400,8,3,790492,17891505,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,2400,8,3,182938,17315023,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,2400,8,3,195364,17573149,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2800,2800,0,172248744,48183229,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2800,2800,0,112595009,48122303,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2800,2800,0,73002387,48087391,1
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2800,2800,0,43727801,49113155,0
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,2800,8,3,707259,18115631,0
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,2800,8,3,922615,17938093,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,2800,8,3,212671,17243708,0
4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,2800,8,3,221257,17293752,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3200,3200,0,172618334,48028846,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3200,3200,0,31693334,48318060,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3200,3200,0,73339039,48124007,1
0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3200,3200,0,80066818,49460913,1
2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,3200,8,3,802378,18691607,0
2,0,0,9,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,3,0,0,1,0,0,3200,8,3,1483198,17735232,0
